Provincia,Partido,Localidad,Link Indec,Otros,<= 1 Mbps,"> 1 Mbps, <= 5 Mbps","> 5 Mbps, <= 10 Mbps","> 10 Mbps, <= 15 Mbps","> 15 Mbps, <= 20 Mbps","> 20 Mbps, <= 25 Mbps","> 25 Mbps, <= 30 Mbps","> 30 Mbps, <= 50 Mbps",> 50 Mbps,Total,% <= 10Mbps,% <= 25Mbps,Poblacion,Latitud,Longitud
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,0.0,23.0,241.0,631.0,4564.0,604.0,211.0,63.0,37.0,9.0,6383.0,14.021619927933573,98.29233902553658,23408.0,-35.4339385892588,-60.1731209454056
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,100.0,100.0,280.0,-35.7392169542026,-60.5590634621789
BUENOS AIRES,25 de Mayo,Del Valle,6854020,0.0,1.0,181.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,100.0,100.0,899.0,-35.8973453887603,-60.7316089512944
BUENOS AIRES,25 de Mayo,Ernestina,6854030,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,100.0,100.0,145.0,-35.2702340519789,-59.5575034078873
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,0.0,0.0,172.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,181.0,99.4475138121547,99.4475138121547,547.0,-35.1643973648093,-60.0813577815069
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,100.0,100.0,63.0,-35.4838272164734,-59.9880647932831
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,0.0,0.0,324.0,803.0,0.0,0.0,0.0,0.0,0.0,0.0,1127.0,100.0,100.0,4524.0,-35.2727788695321,-59.7719327250509
BUENOS AIRES,25 de Mayo,Pedernales,6854070,0.0,0.0,568.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,575.0,99.47826086956522,100.0,1432.0,-35.2666085074294,-59.6306574695384
BUENOS AIRES,25 de Mayo,San Enrique,6854080,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,100.0,100.0,279.0,-35.7785028686085,-60.3546454811901
BUENOS AIRES,25 de Mayo,Valdés,6854090,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,100.0,100.0,579.0,-35.6488128268597,-60.4672591673156
BUENOS AIRES,9 de Julio,12 de Octubre,6588030,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,100.0,100.0,219.0,-35.607730780146,-60.9182929927645
BUENOS AIRES,9 de Julio,9 de Julio,6588100,1.0,12.0,481.0,7939.0,1181.0,1012.0,197.0,318.0,2051.0,1008.0,14200.0,59.38028169014085,76.21126760563381,36494.0,-35.4447435053964,-60.8843433362719
BUENOS AIRES,9 de Julio,Alfredo Demarchi (Est. Facundo Quiroga),6588010,0.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,100.0,100.0,1853.0,-35.2929819536873,-61.4072542128
BUENOS AIRES,9 de Julio,Dudignac,6588040,0.0,8.0,272.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,100.0,100.0,2670.0,-35.6511928511123,-60.7098962799094
BUENOS AIRES,9 de Julio,Manuel B. Gonnet (Est. French),6588060,0.0,1.0,199.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,100.0,100.0,748.0,-35.5201414507378,-60.9989487976537
BUENOS AIRES,9 de Julio,Patricios,6588110,0.0,0.0,0.0,57.0,19.0,0.0,0.0,0.0,0.0,0.0,76.0,75.0,100.0,745.0,-35.4395526972374,-60.7174384712323
BUENOS AIRES,9 de Julio,Villa General Fournier (Est. 9 de Julio Sud),6588120,0.0,0.0,42.0,53.0,1.0,25.0,0.0,9.0,0.0,0.0,130.0,73.07692307692307,93.07692307692308,566.0,-35.4989239490928,-60.8647207106461
