Provincia,Partido,Otros,<= 1 Mbps,"> 1 Mbps, <= 5 Mbps","> 5 Mbps, <= 10 Mbps","> 10 Mbps, <= 15 Mbps","> 15 Mbps, <= 20 Mbps","> 20 Mbps, <= 25 Mbps","> 25 Mbps, <= 30 Mbps","> 30 Mbps, <= 50 Mbps",> 50 Mbps,Total Accesos,Poblacion ENACOM,Poblacion INDEC,Total de viviendas,% accesos
BUENOS AIRES,25 de Mayo,0.0,24.0,1558.0,1783.0,4567.0,604.0,211.0,63.0,37.0,10.0,8857.0,32156.0,36676.0,16304.0,54.32409224730128
BUENOS AIRES,9 de Julio,1.0,21.0,1515.0,8150.0,1201.0,1037.0,197.0,327.0,2051.0,1008.0,15508.0,40128.0,52941.0,23630.0,65.62843842573001
BUENOS AIRES,Adolfo Alsina,10.0,3.0,1360.0,1300.0,1235.0,25.0,0.0,26.0,266.0,34.0,4259.0,15188.0,17666.0,8828.0,48.244222927050295
BUENOS AIRES,Adolfo Gonzales Chaves,0.0,3.0,875.0,610.0,1060.0,0.0,0.0,46.0,1.0,0.0,2595.0,1880.0,12954.0,5947.0,43.635446443585
BUENOS AIRES,Alberti,0.0,4.0,342.0,151.0,300.0,0.0,0.0,2.0,0.0,1.0,800.0,412.0,12726.0,5960.0,13.422818791946309
BUENOS AIRES,Almirante Brown,53.0,241.0,1068.0,6981.0,439.0,413.0,1215.0,63455.0,9397.0,63768.0,147030.0,552138.0,585852.0,184463.0,79.70704152052173
BUENOS AIRES,Arrecifes,0.0,146.0,2019.0,379.0,544.0,3510.0,7.0,4.0,1627.0,493.0,8729.0,27596.0,32405.0,12730.0,68.57030636292222
BUENOS AIRES,Avellaneda,32.0,274.0,933.0,4865.0,5348.0,1338.0,1481.0,8278.0,41197.0,37377.0,101123.0,339126.0,370939.0,145052.0,69.71499875906572
BUENOS AIRES,Ayacucho,0.0,175.0,160.0,779.0,1226.0,0.0,0.0,5.0,0.0,0.0,2345.0,17551.0,22136.0,9766.0,24.011877943886955
BUENOS AIRES,Azul,13.0,250.0,2986.0,1175.0,886.0,306.0,699.0,48.0,7081.0,4345.0,17789.0,61771.0,75396.0,32319.0,55.04192580215972
BUENOS AIRES,Bahía Blanca,7.0,416.0,2972.0,3996.0,1963.0,937.0,26163.0,1605.0,58689.0,19964.0,116712.0,293373.0,335190.0,150624.0,77.48565965583174
BUENOS AIRES,Balcarce,37.0,80.0,478.0,1526.0,664.0,57.0,291.0,42.0,7871.0,2160.0,13206.0,39795.0,51736.0,20691.0,63.82485138466
BUENOS AIRES,Baradero,0.0,60.0,1363.0,1799.0,143.0,67.0,411.0,13.0,4120.0,1729.0,9705.0,29119.0,38526.0,15252.0,63.63099921321794
BUENOS AIRES,Benito Juárez,5.0,74.0,232.0,510.0,915.0,0.0,0.0,33.0,0.0,0.0,1769.0,1379.0,22558.0,9442.0,18.735437407328956
BUENOS AIRES,Berazategui,10.0,135.0,2366.0,2166.0,3586.0,364.0,528.0,11746.0,39149.0,34602.0,94652.0,324155.0,360582.0,117736.0,80.39342257253517
BUENOS AIRES,Berisso,683.0,174.0,1717.0,1941.0,1782.0,221.0,5892.0,97.0,6797.0,4693.0,23997.0,87698.0,101263.0,35982.0,66.69167917291979
BUENOS AIRES,Bolívar,51.0,13.0,375.0,568.0,636.0,17.0,300.0,16.0,3388.0,969.0,6333.0,4445.0,38119.0,17743.0,35.69294933213098
BUENOS AIRES,Bragado,0.0,18.0,1204.0,354.0,494.0,8.0,446.0,18.0,2417.0,1135.0,6094.0,38722.0,44972.0,20267.0,30.068584398282923
BUENOS AIRES,Brandsen,10.0,40.0,1040.0,1463.0,1158.0,14.0,17.0,6.0,1042.0,360.0,5150.0,22373.0,33026.0,14878.0,34.614867589729805
BUENOS AIRES,Campana,285.0,201.0,536.0,1904.0,511.0,327.0,649.0,94.0,11909.0,11102.0,27518.0,90927.0,110726.0,40957.0,67.18753814976682
BUENOS AIRES,Capitán Sarmiento,0.0,0.0,162.0,403.0,336.0,2.0,535.0,4.0,2480.0,323.0,4245.0,13318.0,15906.0,6342.0,66.93472090823084
BUENOS AIRES,Carlos Casares,0.0,80.0,525.0,2545.0,1360.0,0.0,5.0,3.0,494.0,604.0,5616.0,19612.0,23204.0,11252.0,49.91112691077142
BUENOS AIRES,Carlos Tejedor,1.0,1.0,985.0,1111.0,8.0,4.0,0.0,0.0,0.0,0.0,2110.0,6852.0,13148.0,5469.0,38.581093435728654
