Provincia,Partido,Localidad,FIBRA OPTICA,Total accesos,% FIBRA OPTICA,Poblacion,Latitud,Longitud
BUENOS AIRES,25 de Mayo,25 de Mayo,5,7262,0.06885155604516661,23408.0,-35.4339385892588,-60.1731209454056
BUENOS AIRES,25 de Mayo,Del Valle,0,192,0.0,899.0,-35.8973453887603,-60.7316089512944
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,0,181,0.0,547.0,-35.1643973648093,-60.0813577815069
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,0,1127,0.0,4524.0,-35.2727788695321,-59.7719327250509
BUENOS AIRES,25 de Mayo,Lucas Monteverde,0,6,0.0,63.0,-35.4838272164734,-59.9880647932831
BUENOS AIRES,25 de Mayo,Ernestina,0,66,0.0,145.0,-35.2702340519789,-59.5575034078873
BUENOS AIRES,25 de Mayo,Pedernales,0,575,0.0,1432.0,-35.2666085074294,-59.6306574695384
BUENOS AIRES,9 de Julio,12 de Octubre,0,19,0.0,219.0,-35.607730780146,-60.9182929927645
BUENOS AIRES,9 de Julio,9 de Julio,5892,14526,40.561751342420486,36494.0,-35.4447435053964,-60.8843433362719
BUENOS AIRES,9 de Julio,Alfredo Demarchi (Est. Facundo Quiroga),0,510,0.0,1853.0,-35.2929819536873,-61.4072542128
BUENOS AIRES,9 de Julio,Dudignac,0,464,0.0,2670.0,-35.6511928511123,-60.7098962799094
BUENOS AIRES,9 de Julio,Manuel B. Gonnet (Est. French),2,203,0.9852216748768473,748.0,-35.5201414507378,-60.9989487976537
BUENOS AIRES,9 de Julio,Villa General Fournier (Est. 9 de Julio Sud),88,130,67.6923076923077,566.0,-35.4989239490928,-60.8647207106461
BUENOS AIRES,9 de Julio,Patricios,0,76,0.0,745.0,-35.4395526972374,-60.7174384712323
BUENOS AIRES,Adolfo Alsina,Carhué,1419,2489,57.010847730012046,9660.0,-37.1774801030509,-62.7578962604015
BUENOS AIRES,Adolfo Alsina,Maza,390,406,96.05911330049261,1748.0,-36.7999468137731,-63.3385151506224
BUENOS AIRES,Adolfo Alsina,Rivera,1202,1202,100.0,3217.0,-37.1583546113813,-63.2442194943605
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,0,160,0.0,563.0,-37.4486186469627,-63.117609405389
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves (Est. Chaves),945,1845,51.21951219512195,9066.0,-38.0333995087596,-60.1003341740637
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,630,689,91.43686502177069,1625.0,-37.9635021758562,-60.415659383962
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,0,45,0.0,212.0,-37.8233871716044,-60.484639770555
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,0,14,0.0,43.0,-38.1766861391835,-60.1708487303777
BUENOS AIRES,Alberti,Alberti (Est. Andrés Vaccarezza),3,503,0.5964214711729622,8260.0,-35.0330734347841,-60.2806197287099
BUENOS AIRES,Alberti,Mechita,0,285,0.0,412.0,-35.068013673391,-60.4025971632697
BUENOS AIRES,Almirante Brown,Adrogué,11037,20630,53.49975763451285,30271.0,-34.8015580737331,-58.3914677191541
BUENOS AIRES,Almirante Brown,Burzaco,10987,27339,40.188009802845755,92223.0,-34.8315415891783,-58.3986874871405
BUENOS AIRES,Almirante Brown,Claypole,4077,11564,35.25596679349706,44098.0,-34.8044759080477,-58.3447825531042
BUENOS AIRES,Almirante Brown,Don Orione,0,4989,0.0,46366.0,-34.8210751643113,-58.3447457989957
BUENOS AIRES,Almirante Brown,Glew,11516,19096,60.30582320904902,61985.0,-34.8860114180413,-58.3818301842512
BUENOS AIRES,Almirante Brown,Jose Mármol,1294,8516,15.194927195866603,43494.0,-34.7851442510713,-58.3681475603787
BUENOS AIRES,Almirante Brown,Longchamps,7199,16594,43.383150536338434,51001.0,-34.8609450255718,-58.3891476922426
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,71,5169,1.3735732249951635,25844.0,-34.8189583169642,-58.4235610606239
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,4004,7295,54.88690884167238,17928.0,-34.8556895005541,-58.3616465427911
